time,"P(B1|X1|X1|X35)","P(B2|X1|X1|X35)","P(B1|X2|X20|X35)","P(B2|X2|X20|X35)","V(R1)","P(B1|X1|X2|X2)","P(B2|X1|X2|X2)","P(B1|X2|X6|X7)","P(B2|X2|X6|X7)","P(B1|X1|X1|X5)","P(B2|X1|X1|X5)"
0.000000e+00,1.224640e-16,1.940956e-16,1.224640e-16,1.940956e-16,0.000000e+00,1.224640e-16,1.940956e-16,1.224640e-16,1.940956e-16,1.224640e-16,1.940956e-16
1.000000e-13,5.986292e-07,5.986292e-07,5.986292e-07,5.986292e-07,-8.778136e-09,5.986292e-07,5.986292e-07,5.986292e-07,5.986292e-07,5.986292e-07,5.986292e-07
2.000000e-13,3.091378e-06,3.173639e-06,3.091378e-06,3.173639e-06,-2.059393e-08,3.091378e-06,3.173639e-06,3.091378e-06,3.173639e-06,3.091378e-06,3.173639e-06
3.000000e-13,9.167617e-06,9.672594e-06,9.167617e-06,9.672594e-06,-3.265944e-08,9.167617e-06,9.672594e-06,9.167617e-06,9.672594e-06,9.167617e-06,9.672594e-06
4.000000e-13,2.054633e-05,2.232101e-05,2.054633e-05,2.232101e-05,-4.452510e-08,2.054633e-05,2.232101e-05,2.054633e-05,2.232101e-05,2.054633e-05,2.232101e-05
5.000000e-13,3.873201e-05,4.341406e-05,3.873201e-05,4.341406e-05,-5.631132e-08,3.873201e-05,4.341406e-05,3.873201e-05,4.341406e-05,3.873201e-05,4.341406e-05
6.000000e-13,6.491818e-05,7.521158e-05,6.491818e-05,7.521158e-05,-6.813326e-08,6.491818e-05,7.521158e-05,6.491818e-05,7.521158e-05,6.491818e-05,7.521158e-05
7.000000e-13,1.000000e-04,1.198991e-04,1.000000e-04,1.198991e-04,-8.005178e-08,1.000000e-04,1.198991e-04,1.000000e-04,1.198991e-04,1.000000e-04,1.198991e-04
8.000000e-13,1.446479e-04,1.795767e-04,1.446479e-04,1.795767e-04,-9.210669e-08,1.446479e-04,1.795767e-04,1.446479e-04,1.795767e-04,1.446479e-04,1.795767e-04
9.000000e-13,1.994048e-04,2.562551e-04,1.994048e-04,2.562551e-04,-1.043330e-07,1.994048e-04,2.562551e-04,1.994048e-04,2.562551e-04,1.994048e-04,2.562551e-04
1.000000e-12,2.647834e-04,3.518520e-04,2.647834e-04,3.518520e-04,-1.167645e-07,2.647834e-04,3.518520e-04,2.647834e-04,3.518520e-04,2.647834e-04,3.518520e-04
1.100000e-12,3.413467e-04,4.681907e-04,3.413467e-04,4.681907e-04,-1.294336e-07,3.413467e-04,4.681907e-04,3.413467e-04,4.681907e-04,3.413467e-04,4.681907e-04
