time,"P(B1|X1|X32)","P(B1|X1|X43)","P(B1|X1|X42)","V(B1|X1|X32)","V(B1|X1|X43)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,1.905123e-06,1.905123e-06,1.905123e-06,9.404812e-09,9.404812e-09
2.000000e-13,1.029186e-05,1.029186e-05,1.029186e-05,3.826693e-08,3.826693e-08
3.000000e-13,3.180267e-05,3.180267e-05,3.180267e-05,9.238940e-08,9.238940e-08
4.000000e-13,7.391495e-05,7.391495e-05,7.391495e-05,1.724944e-07,1.724944e-07
5.000000e-13,1.437231e-04,1.437231e-04,1.437231e-04,2.753174e-07,2.753174e-07
6.000000e-13,2.470407e-04,2.470407e-04,2.470407e-04,3.951650e-07,3.951650e-07
7.000000e-13,3.878872e-04,3.878872e-04,3.878872e-04,5.252892e-07,5.252892e-07
8.000000e-13,5.683077e-04,5.683077e-04,5.683077e-04,6.588947e-07,6.588947e-07
9.000000e-13,7.884359e-04,7.884359e-04,7.884359e-04,7.897953e-07,7.897953e-07
1.000000e-12,1.046715e-03,1.046715e-03,1.046715e-03,9.127925e-07,9.127925e-07
1.100000e-12,1.340210e-03,1.340210e-03,1.340210e-03,1.023854e-06,1.023854e-06
1.200000e-12,1.664949e-03,1.664949e-03,1.664949e-03,1.120152e-06,1.120152e-06
1.300000e-12,2.016280e-03,2.016280e-03,2.016280e-03,1.200009e-06,1.200009e-06
1.400000e-12,2.389192e-03,2.389192e-03,2.389192e-03,1.262787e-06,1.262787e-06
1.500000e-12,2.778604e-03,2.778604e-03,2.778604e-03,1.308732e-06,1.308732e-06
1.600000e-12,3.179610e-03,3.179610e-03,3.179610e-03,1.338812e-06,1.338812e-06
1.700000e-12,3.587667e-03,3.587667e-03,3.587667e-03,1.354539e-06,1.354539e-06
1.800000e-12,3.998735e-03,3.998735e-03,3.998735e-03,1.357807e-06,1.357807e-06
1.900000e-12,4.409375e-03,4.409375e-03,4.409375e-03,1.350733e-06,1.350733e-06
2.000000e-12,4.816789e-03,4.816789e-03,4.816789e-03,1.335520e-06,1.335520e-06
2.100000e-12,5.218840e-03,5.218840e-03,5.218840e-03,1.314344e-06,1.314344e-06
2.200000e-12,5.614020e-03,5.614020e-03,5.614020e-03,1.289256e-06,1.289256e-06
