time,"P(B1|X1|X32)","P(B1|X1|X43)","P(B2|X8|X33)","P(B1|X1|X42)","V(B1|X1|X32)","V(B1|X1|X43)","V(B2|X8|X33)","V(B1|X1|X42)","I(B1|X1|X13)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,1.905123e-06,1.905123e-06,1.906594e-06,1.905123e-06,9.404812e-09,9.404812e-09,9.412070e-09,9.404812e-09,4.800082e-11
2.000000e-13,1.029186e-05,1.029186e-05,1.029972e-05,1.029186e-05,3.826693e-08,3.826693e-08,3.829605e-08,3.826693e-08,1.491176e-10
3.000000e-13,3.180267e-05,3.180267e-05,3.182663e-05,3.180267e-05,9.238940e-08,9.238940e-08,9.245837e-08,9.238940e-08,2.950189e-10
4.000000e-13,7.391495e-05,7.391495e-05,7.396973e-05,7.391495e-05,1.724944e-07,1.724944e-07,1.726200e-07,1.724944e-07,4.746751e-10
5.000000e-13,1.437231e-04,1.437231e-04,1.438276e-04,1.437231e-04,2.753174e-07,2.753174e-07,2.755118e-07,2.753174e-07,6.782220e-10
6.000000e-13,2.470407e-04,2.470407e-04,2.472161e-04,2.470407e-04,3.951650e-07,3.951650e-07,3.954338e-07,3.951650e-07,8.982254e-10
7.000000e-13,3.878872e-04,3.878872e-04,3.881555e-04,3.878872e-04,5.252892e-07,5.252892e-07,5.256308e-07,5.252892e-07,1.129914e-09
8.000000e-13,5.683077e-04,5.683077e-04,5.686893e-04,5.683077e-04,6.588947e-07,6.588947e-07,6.593012e-07,6.588947e-07,1.370971e-09
9.000000e-13,7.884359e-04,7.884359e-04,7.889482e-04,7.884359e-04,7.897953e-07,7.897953e-07,7.902540e-07,7.897953e-07,1.621132e-09
1.000000e-12,1.046715e-03,1.046715e-03,1.047372e-03,1.046715e-03,9.127925e-07,9.127925e-07,9.132877e-07,9.127925e-07,1.881696e-09
1.100000e-12,1.340210e-03,1.340210e-03,1.341018e-03,1.340210e-03,1.023854e-06,1.023854e-06,1.024368e-06,1.023854e-06,2.155017e-09
1.200000e-12,1.664949e-03,1.664949e-03,1.665913e-03,1.664949e-03,1.120152e-06,1.120152e-06,1.120670e-06,1.120152e-06,2.444024e-09
1.300000e-12,2.016280e-03,2.016280e-03,2.017399e-03,2.016280e-03,1.200009e-06,1.200009e-06,1.200516e-06,1.200009e-06,2.751794e-09
1.400000e-12,2.389192e-03,2.389192e-03,2.390461e-03,2.389192e-03,1.262787e-06,1.262787e-06,1.263273e-06,1.262787e-06,3.081197e-09
1.500000e-12,2.778604e-03,2.778604e-03,2.780016e-03,2.778604e-03,1.308732e-06,1.308732e-06,1.309190e-06,1.308732e-06,3.434625e-09
1.600000e-12,3.179610e-03,3.179610e-03,3.181155e-03,3.179610e-03,1.338812e-06,1.338812e-06,1.339238e-06,1.338812e-06,3.813812e-09
1.700000e-12,3.587667e-03,3.587667e-03,3.589337e-03,3.587667e-03,1.354539e-06,1.354539e-06,1.354935e-06,1.354539e-06,4.219734e-09
1.800000e-12,3.998735e-03,3.998735e-03,4.000521e-03,3.998735e-03,1.357807e-06,1.357807e-06,1.358176e-06,1.357807e-06,4.652581e-09
1.900000e-12,4.409375e-03,4.409375e-03,4.411270e-03,4.409375e-03,1.350733e-06,1.350733e-06,1.351081e-06,1.350733e-06,5.111799e-09
2.000000e-12,4.816789e-03,4.816789e-03,4.818789e-03,4.816789e-03,1.335520e-06,1.335520e-06,1.335856e-06,1.335520e-06,5.596180e-09
2.100000e-12,5.218840e-03,5.218840e-03,5.220942e-03,5.218840e-03,1.314344e-06,1.314344e-06,1.314675e-06,1.314344e-06,6.103978e-09
