time,P(B1|X1|X5|X73),P(B2|X1|X5|X73),P(B1|X1|X5|X32),P(B2|X1|X5|X32),P(B1|X1|X5|X34),P(B2|X1|X5|X34),P(B1|X1|X1),P(B2|X1|X1),P(B1|X2|X1),P(B2|X2|X1),P(B1|X5|X1),P(B2|X5|X1),P(B1|X7|X1),P(B2|X7|X1),V(R31),V(R51),V(R72)
0.0,1.224638e-16,2.016492e-16,1.224638e-16,2.016492e-16,-1.058079e-14,-1.772218e-14,-2.023041e-11,-3.482205e-11,-4.158613e-11,-7.159319e-11,3.184726e-10,5.483189e-10,-5.528333e-10,-9.517523e-10,-3.042408e-35,-6.084817e-35,6.084817e-35
1e-13,6.743959e-07,6.743959e-07,6.743959e-07,6.743959e-07,6.743959e-07,6.743959e-07,6.106177e-07,6.106026e-07,2.020094e-07,2.019783e-07,7.491779e-07,7.494156e-07,-8.998877e-08,-9.040134e-08,-1.129484e-08,-1.129484e-08,5.112541e-10
2e-13,3.502825e-06,3.596243e-06,3.502825e-06,3.596243e-06,3.502825e-06,3.596243e-06,3.168033e-06,3.252603e-06,1.08836e-06,1.116316e-06,3.922983e-06,4.026965e-06,-5.031811e-07,-5.160022e-07,-2.662271e-08,-2.662271e-08,1.458163e-09
3e-13,1.044093e-05,1.101877e-05,1.044093e-05,1.101877e-05,1.044093e-05,1.101877e-05,9.428297e-06,9.95099e-06,3.36541e-06,3.543894e-06,1.178498e-05,1.243147e-05,-1.60656e-06,-1.688925e-06,-4.231159e-08,-4.231159e-08,2.764598e-09
4e-13,2.350243e-05,2.554822e-05,2.350243e-05,2.554822e-05,2.350243e-05,2.554822e-05,2.117963e-05,2.302796e-05,7.857304e-06,8.508422e-06,2.671465e-05,2.901759e-05,-3.839175e-06,-4.146861e-06,-5.772039e-08,-5.772039e-08,4.459582e-09
5e-13,4.446465e-05,4.990098e-05,4.446465e-05,4.990098e-05,4.446465e-05,4.990098e-05,3.996727e-05,4.487151e-05,1.541109e-05,1.719227e-05,5.084772e-05,5.700207e-05,-7.640976e-06,-8.499512e-06,-7.299721e-08,-7.299721e-08,6.642973e-09
6e-13,7.474013e-05,8.677677e-05,7.474013e-05,8.677677e-05,7.474013e-05,8.677677e-05,6.697188e-05,7.781083e-05,2.683746e-05,3.089447e-05,8.589282e-05,9.958756e-05,-1.33943e-05,-1.537807e-05,-8.830276e-08,-8.830276e-08,9.44142e-09
7e-13,0.0001153777,0.0001388104,0.0001153777,0.0001388104,0.0001153777,0.0001388104,0.0001030096,0.0001240659,4.288787e-05,5.100848e-05,0.0001331,0.0001598765,-2.139005e-05,-2.539742e-05,-1.037278e-07,-1.037278e-07,1.298433e-08
8e-13,0.0001671409,0.0002085592,0.0001671409,0.0002085592,0.0001671409,0.0002085592,0.000148606,0.000185733,6.425947e-05,7.901166e-05,0.0001933303,0.0002408331,-3.181928e-05,-3.913154e-05,-1.193329e-07,-1.193329e-07,1.739641e-08
9e-13,0.0002306204,0.0002985002,0.0002306204,0.0002985002,0.0002306204,0.0002985002,0.0002041051,0.0002647827,9.161768e-05,0.0001164597,0.0002671784,0.0003452659,-4.478452e-05,-5.709912e-05,-1.35171e-07,-1.35171e-07,2.279816e-08
1e-12,0.0003063519,0.0004110271,0.0003063519,0.0004110271,0.0003063519,0.0004110271,0.0002697831,0.0003630607,0.0001256274,0.0001649824,0.0003551129,0.0004758176,-6.032335e-05,-7.975569e-05,-1.512927e-07,-1.512927e-07,2.930888e-08
1.1e-12,0.0003949188,0.0005484484,0.0003949188,0.0005484484,0.0003949188,0.0005484484,0.000345951,0.0004822915,0.0001669861,0.00022628,0.0004576069,0.0006349601,-7.843667e-05,-0.00010749,-1.677466e-07,-1.677466e-07,3.704927e-08
1.2e-12,0.0004970319,0.000712989,0.0004970319,0.000712989,0.0004970319,0.000712989,0.0004330331,0.0006240875,0.0002164531,0.0003021203,0.0005752436,0.0008249972,-9.911555e-05,-0.0001406231,-1.845802e-07,-1.845802e-07,4.614323e-08
1.3e-12,0.0006135777,0.0009067998,0.0006135777,0.0009067998,0.0006135777,0.0009067998,0.0005316166,0.0007899656,0.0002748725,0.0003943386,0.0007087865,0.001048078,-0.0001223625,-0.0001794096,-2.018398e-07,-2.018398e-07,5.671867e-08
1.4e-12,0.0007456381,0.001131978,0.0007456381,0.001131978,0.0007456381,0.001131978,0.000642473,0.0009813748,0.0003431885,0.0005048396,0.0008592124,0.001306223,-0.0001482049,-0.0002240412,-2.195712e-07,-2.195712e-07,6.890767e-08
1.5e-12,0.0008944836,0.001390595,0.0008944836,0.001390595,0.0008944836,0.001390595,0.000766553,0.001199731,0.0004224511,0.0006356045,0.00102771,0.001601359,-0.0001766994,-0.000274652,-2.378199e-07,-2.378199e-07,8.284628e-08
1.6e-12,0.001061546,0.001684735,0.001061546,0.001684735,0.001061546,0.001684735,0.000904962,0.001446457,0.0005138156,0.0007887,0.001215651,0.001935367,-0.0002079293,-0.000331325,-2.566312e-07,-2.566312e-07,9.867408e-08
1.7e-12,0.00124838,0.002016537,0.00124838,0.002016537,0.00124838,0.002016537,0.001058924,0.001723035,0.0006185361,0.0009662914,0.001424542,0.002310133,-0.0002419944,-0.0003941,-2.760501e-07,-2.760501e-07,1.165337e-07
